,car_id,pp_brand_id,pp_genre_id,pp_brand_name,left_behind,left_front
0,134676,31,858,·áÌï,1503308a6a4b0e31,1503588a91234bd1
1,402616,31,20054,·áÌï,,
2,410694,31,228,·áÌï,1503294e81df58b1,1503644ed33dd851
3,196933,31,282,·áÌï,150393f074b73c01,150351f09c5b5aa1
4,411067,31,228,·áÌï,,150375878dee6361
5,394067,31,228,·áÌï,,
6,421905,31,282,·áÌï,,
7,228006,31,20054,·áÌï,,
8,243788,31,861,·áÌï,,
9,380377,31,861,·áÌï,,
10,408524,31,234,·áÌï,,
11,342630,31,282,·áÌï,,1504257b61020be1
12,17326,31,20054,·áÌï,,
13,232630,31,282,·áÌï,15046190033e0dd1,150445903f8f8631
14,255357,31,861,·áÌï,15044470318ef791,1504577017331f51
15,420555,31,815,·áÌï,1504598d41177111,1504108d9195b061
16,426436,31,228,·áÌï,150462b381ee0251,150498b35a9f8821
17,426435,31,228,·áÌï,150410ba7932c851,150453b9d56d9af1
18,221209,31,861,·áÌï,150443c79f687451,150497c77f437931
19,429467,31,861,·áÌï,150410d04985d1e1,150438d01bad1261
20,417238,31,887,·áÌï,150449f07496b0b1,150458e53cbf1281
21,404452,31,861,·áÌï,150490f0e361c711,150426f09fadad11
22,426913,31,282,·áÌï,150476aa911de291,150434a966928881
23,425335,31,228,·áÌï,150450bbcff41f21,150444bb402ac651
24,422697,31,225,·áÌï,15043129a1cfa931,150455295323dd21
25,424619,31,861,·áÌï,,
26,226064,31,815,·áÌï,15044904dfd23691,15046704cfbd39b1
27,421549,31,282,·áÌï,15047614ce5c15d1,150449148a3d00d1
28,407856,31,282,·áÌï,1504301b25f1e9f1,1504261b013f4c91
29,431246,31,861,·áÌï,15047465721fb331,1504546584006921
30,429565,31,861,·áÌï,1504506d31d33861,1504436c7f6e9be1
31,419863,31,815,·áÌï,1504379ef7c15ec1,1504979eb41d6111
32,429507,31,861,·áÌï,150427a65e4a4641,150480a62ab8b631
33,28260,31,815,·áÌï,150413d47babda51,150450d4523464b1
34,425528,31,225,·áÌï,150482ed83230d31,150480edc501b6b1
35,429895,31,228,·áÌï,150499f1338df5f1,150496f0e0b5a381
36,430037,31,861,·áÌï,150475c41b16c091,150447c3b7486021
37,323553,31,20054,·áÌï,150494d777336801,150468d746638511
38,415790,31,1308,·áÌï,1504720239ab6981,15041501dc6a97d1
39,425522,31,282,·áÌï,15046617bfd3c871,150495180a00f621
40,420381,31,861,·áÌï,150459fdaa0db431,150444fd724c3401
41,429490,31,861,·áÌï,1504941bbd82dcd1,1504871b6e9362f1
42,428385,31,815,·áÌï,15044338e89c8861,1504983618684a81
43,422535,31,282,·áÌï,1504503e52155bf1,1504983de706f971
44,428003,31,815,·áÌï,1504863e28e13dc1,1504143e07158c31
45,413565,31,858,·áÌï,1504846d00b57ab1,1504266cdadfed71
46,423551,31,887,·áÌï,150417476ed2c701,150412473b607b91
47,435159,31,815,·áÌï,,
48,415350,31,228,·áÌï,,
49,430970,31,20054,·áÌï,1504679157d3d911,1504239107cf0171
